algorithm_name,function_id,best,mean,std,worst,median,avg_runtime,avg_used_FEs
BBO,1,499068631.370943,499068631.370943,0,499068631.370943,499068631.370943,0.0370465,400
SBO,1,5055778737.4103,5055778737.4103,0,5055778737.4103,5055778737.4103,0.029246,400
