algorithm_name,function_id,best,mean,std,worst,median,avg_runtime
BBO,1,100.763600390255,9.61301601839279e+17,5.25564862358248e+18,2.8788106349989e+19,38434631388.2317,0.0423277666666667
BBO,2,200,212.333333333333,24.613331589893,298,200,0.0437174033333333
BBO,3,300.000159860565,300.005321567896,0.00560185171990452,300.025923610131,300.003904281518,0.0407981866666667
BBO,4,402.4940486454,405.62397022008,1.39599345975488,407.249340300009,406.117739621966,0.0413226266666667
BBO,5,503.979979097141,516.450018352486,7.11132217293236,534.823383053553,517.411834647453,0.04653073
SBO,1,1.37590425883956e+29,2.44936814042478e+33,6.15893019053225e+33,2.84464531772113e+34,3.29131548518626e+32,0.00276149333333333
SBO,2,300230187,234878769161.933,443124353231.152,1574000466251,18468317758,0.00145538333333333
SBO,3,5155.87411972236,15262.2979438288,4942.54670262191,26985.1861165351,15823.3259551177,0.00132997333333333
SBO,4,496.701515027547,774.194383063085,183.930257095996,1351.84384300141,737.409380788983,0.00129599333333333
SBO,5,549.660819635813,592.682746419884,15.684654417369,625.040502120699,593.810401086442,0.00153684333333333
