algorithm_name,function_id,best,mean,std,worst,median,avg_runtime,avg_used_FEs
BBO_BASE,1,14920.6054607172,14920.6054607172,0,14920.6054607172,14920.6054607172,12.3295765,3000
BBO_BASE,2,2621,2621,0,2621,2621,14.3814749,3000
BBO_BASE,3,847.758115073639,847.758115073639,0,847.758115073639,847.758115073639,11.5358484,3000
BBO_IMPROVED_V1,1,5576.08472166603,5576.08472166603,0,5576.08472166603,5576.08472166603,11.6737841,3000
BBO_IMPROVED_V1,2,483,483,0,483,483,13.1418905,3000
BBO_IMPROVED_V1,3,430.678979702354,430.678979702354,0,430.678979702354,430.678979702354,11.8756651,3000
BBO_IMPROVED_V2,1,26973.7780042316,26973.7780042316,0,26973.7780042316,26973.7780042316,11.869764,3000
BBO_IMPROVED_V2,2,3190,3190,0,3190,3190,12.5566063,3000
BBO_IMPROVED_V2,3,1174.29377384492,1174.29377384492,0,1174.29377384492,1174.29377384492,12.7438737,3000
BBO_IMPROVED_V3,1,56810.9242182195,56810.9242182195,0,56810.9242182195,56810.9242182195,11.5859054,3000
BBO_IMPROVED_V3,2,5145,5145,0,5145,5145,13.2982936,3000
BBO_IMPROVED_V3,3,433.448900203376,433.448900203376,0,433.448900203376,433.448900203376,12.1224198,3000
MGO,1,148958047.939125,148958047.939125,0,148958047.939125,148958047.939125,12.5706917,3000
MGO,2,4312626,4312626,0,4312626,4312626,11.7130366,3000
MGO,3,12911.8282683336,12911.8282683336,0,12911.8282683336,12911.8282683336,11.6488637,3000
PLO,1,337492482.39714,337492482.39714,0,337492482.39714,337492482.39714,13.0122823,3000
PLO,2,116232368,116232368,0,116232368,116232368,12.4868976,3000
PLO,3,19217.5366759603,19217.5366759603,0,19217.5366759603,19217.5366759603,11.669293,3000
SBO,1,49114864.9837378,49114864.9837378,0,49114864.9837378,49114864.9837378,11.5961996,3000
SBO,2,32225,32225,0,32225,32225,12.0406217,3000
SBO,3,4694.03346717962,4694.03346717962,0,4694.03346717962,4694.03346717962,11.6042313,3000
