algorithm_name,function_id,best,mean,std,worst,median,avg_runtime,avg_used_FEs
BBO_BASE,1,14920.6054607172,14920.6054607172,0,14920.6054607172,14920.6054607172,9.5088129,3000
BBO_BASE,2,2621,2621,0,2621,2621,9.5679923,3000
BBO_BASE,3,847.758115073639,847.758115073639,0,847.758115073639,847.758115073639,9.7999225,3000
BBO_IMPROVED_V1,1,5576.08472166603,5576.08472166603,0,5576.08472166603,5576.08472166603,10.8202045,3000
BBO_IMPROVED_V1,2,483,483,0,483,483,9.2336161,3000
BBO_IMPROVED_V1,3,430.678979702354,430.678979702354,0,430.678979702354,430.678979702354,10.1167913,3000
BBO_IMPROVED_V2,1,26973.7780042316,26973.7780042316,0,26973.7780042316,26973.7780042316,9.4831686,3000
BBO_IMPROVED_V2,2,3190,3190,0,3190,3190,9.6403432,3000
BBO_IMPROVED_V2,3,1174.29377384492,1174.29377384492,0,1174.29377384492,1174.29377384492,10.2993703,3000
BBO_IMPROVED_V3,1,56810.9242182195,56810.9242182195,0,56810.9242182195,56810.9242182195,9.6915337,3000
BBO_IMPROVED_V3,2,5145,5145,0,5145,5145,10.2292732,3000
BBO_IMPROVED_V3,3,433.448900203376,433.448900203376,0,433.448900203376,433.448900203376,9.7057494,3000
MGO,1,148958047.939125,148958047.939125,0,148958047.939125,148958047.939125,9.1510563,3000
MGO,2,4312626,4312626,0,4312626,4312626,12.5331942,3000
MGO,3,12911.8282683336,12911.8282683336,0,12911.8282683336,12911.8282683336,9.7286774,3000
PLO,1,337492482.39714,337492482.39714,0,337492482.39714,337492482.39714,9.4249633,3000
PLO,2,116232368,116232368,0,116232368,116232368,11.025493,3000
PLO,3,19217.5366759603,19217.5366759603,0,19217.5366759603,19217.5366759603,10.091365,3000
SBO,1,49114864.9837378,49114864.9837378,0,49114864.9837378,49114864.9837378,9.2440882,3000
SBO,2,32225,32225,0,32225,32225,12.5876488,3000
SBO,3,4694.03346717962,4694.03346717962,0,4694.03346717962,4694.03346717962,9.6210346,3000
