algorithm_name,function_id,best,mean,std,worst,median,avg_runtime,avg_used_FEs
BBO_BASE,1,14920.6054607172,14920.6054607172,0,14920.6054607172,14920.6054607172,10.699818,3000
BBO_BASE,2,2621,2621,0,2621,2621,21.8184924,3000
BBO_BASE,3,847.758115073639,847.758115073639,0,847.758115073639,847.758115073639,21.2555443,3000
BBO_BASE,4,406.431525183397,406.431525183397,0,406.431525183397,406.431525183397,9.3524327,3000
BBO_BASE,5,507.083381474817,507.083381474817,0,507.083381474817,507.083381474817,10.3256853,3000
BBO_BASE,6,605.42223035661,605.42223035661,0,605.42223035661,605.42223035661,11.4273558,3000
BBO_BASE,7,730.368148924733,730.368148924733,0,730.368148924733,730.368148924733,13.0087855,3000
BBO_BASE,8,812.949875849465,812.949875849465,0,812.949875849465,812.949875849465,17.7007359,3000
BBO_BASE,9,913.018482954603,913.018482954603,0,913.018482954603,913.018482954603,12.3466115,3000
BBO_BASE,10,1721.36763064049,1721.36763064049,0,1721.36763064049,1721.36763064049,11.912339,3000
BBO_BASE,11,1122.62317159797,1122.62317159797,0,1122.62317159797,1122.62317159797,12.0414127,3000
BBO_BASE,12,5732845.6648016,5732845.6648016,0,5732845.6648016,5732845.6648016,11.9244095,3000
BBO_BASE,13,14476.3810438525,14476.3810438525,0,14476.3810438525,14476.3810438525,12.3692776,3000
BBO_BASE,14,13605.4765518084,13605.4765518084,0,13605.4765518084,13605.4765518084,12.8581384,3000
BBO_BASE,15,3628.18450371615,3628.18450371615,0,3628.18450371615,3628.18450371615,11.6746094,3000
BBO_BASE,16,1644.03800292318,1644.03800292318,0,1644.03800292318,1644.03800292318,12.050655,3000
BBO_BASE,17,1777.96785754814,1777.96785754814,0,1777.96785754814,1777.96785754814,12.2525801,3000
BBO_BASE,18,14346.4377986417,14346.4377986417,0,14346.4377986417,14346.4377986417,11.9463354,3000
BBO_BASE,19,6517.31784840203,6517.31784840203,0,6517.31784840203,6517.31784840203,11.9419875,3000
BBO_BASE,20,2149.92768902494,2149.92768902494,0,2149.92768902494,2149.92768902494,11.5467747,3000
BBO_BASE,21,2323.12397512071,2323.12397512071,0,2323.12397512071,2323.12397512071,11.5232345,3000
BBO_BASE,22,2304.77932261328,2304.77932261328,0,2304.77932261328,2304.77932261328,24.6490785,3000
BBO_BASE,23,2637.65482337152,2637.65482337152,0,2637.65482337152,2637.65482337152,11.9721833,3000
BBO_BASE,24,2500.47129194577,2500.47129194577,0,2500.47129194577,2500.47129194577,12.1365823,3000
BBO_BASE,25,2943.79959351871,2943.79959351871,0,2943.79959351871,2943.79959351871,12.4905654,3000
BBO_BASE,26,2901.43441903454,2901.43441903454,0,2901.43441903454,2901.43441903454,12.6948833,3000
BBO_BASE,27,3137.07883694451,3137.07883694451,0,3137.07883694451,3137.07883694451,22.8411205,3000
BBO_BASE,28,3383.90241093591,3383.90241093591,0,3383.90241093591,3383.90241093591,21.731225,3000
BBO_BASE,29,3229.63817248564,3229.63817248564,0,3229.63817248564,3229.63817248564,21.4307301,3000
BBO_BASE,30,302061.01559159,302061.01559159,0,302061.01559159,302061.01559159,11.3808681,3000
BBO_IMPROVED_V1,1,5576.08472166603,5576.08472166603,0,5576.08472166603,5576.08472166603,10.9909258,3000
BBO_IMPROVED_V1,2,483,483,0,483,483,21.7963185,3000
BBO_IMPROVED_V1,3,430.678979702354,430.678979702354,0,430.678979702354,430.678979702354,21.4280223,3000
BBO_IMPROVED_V1,4,407.558020537648,407.558020537648,0,407.558020537648,407.558020537648,10.0428009,3000
BBO_IMPROVED_V1,5,525.885179752475,525.885179752475,0,525.885179752475,525.885179752475,10.8246861,3000
BBO_IMPROVED_V1,6,604.80841214,604.80841214,0,604.80841214,604.80841214,11.6567231,3000
BBO_IMPROVED_V1,7,718.3102905894,718.3102905894,0,718.3102905894,718.3102905894,12.1417304,3000
BBO_IMPROVED_V1,8,835.833316609241,835.833316609241,0,835.833316609241,835.833316609241,13.0877507,3000
BBO_IMPROVED_V1,9,908.044350427656,908.044350427656,0,908.044350427656,908.044350427656,12.0791345,3000
BBO_IMPROVED_V1,10,1949.63260880374,1949.63260880374,0,1949.63260880374,1949.63260880374,12.1555151,3000
BBO_IMPROVED_V1,11,1117.1751367684,1117.1751367684,0,1117.1751367684,1117.1751367684,11.9334266,3000
BBO_IMPROVED_V1,12,4002007.16307095,4002007.16307095,0,4002007.16307095,4002007.16307095,12.4064019,3000
BBO_IMPROVED_V1,13,9105.74546664999,9105.74546664999,0,9105.74546664999,9105.74546664999,12.2115912,3000
BBO_IMPROVED_V1,14,4752.59749316591,4752.59749316591,0,4752.59749316591,4752.59749316591,13.3869895,3000
BBO_IMPROVED_V1,15,2259.1986022927,2259.1986022927,0,2259.1986022927,2259.1986022927,12.0115691,3000
BBO_IMPROVED_V1,16,1858.71257713379,1858.71257713379,0,1858.71257713379,1858.71257713379,11.900367,3000
BBO_IMPROVED_V1,17,1750.73733691304,1750.73733691304,0,1750.73733691304,1750.73733691304,11.3242504,3000
BBO_IMPROVED_V1,18,21961.6760194115,21961.6760194115,0,21961.6760194115,21961.6760194115,11.4542557,3000
BBO_IMPROVED_V1,19,5436.87632368286,5436.87632368286,0,5436.87632368286,5436.87632368286,11.3645339,3000
BBO_IMPROVED_V1,20,2092.36639389904,2092.36639389904,0,2092.36639389904,2092.36639389904,11.3139536,3000
BBO_IMPROVED_V1,21,2331.92532695968,2331.92532695968,0,2331.92532695968,2331.92532695968,11.6107527,3000
BBO_IMPROVED_V1,22,2301.27413469612,2301.27413469612,0,2301.27413469612,2301.27413469612,20.1261885,3000
BBO_IMPROVED_V1,23,2621.69244665362,2621.69244665362,0,2621.69244665362,2621.69244665362,11.3350382,3000
BBO_IMPROVED_V1,24,2746.54494907163,2746.54494907163,0,2746.54494907163,2746.54494907163,11.8673359,3000
BBO_IMPROVED_V1,25,2899.63024678344,2899.63024678344,0,2899.63024678344,2899.63024678344,12.1270567,3000
BBO_IMPROVED_V1,26,2602.90686660678,2602.90686660678,0,2602.90686660678,2602.90686660678,12.4973795,3000
BBO_IMPROVED_V1,27,3102.83070483399,3102.83070483399,0,3102.83070483399,3102.83070483399,22.5049573,3000
BBO_IMPROVED_V1,28,3259.37179380321,3259.37179380321,0,3259.37179380321,3259.37179380321,21.4909115,3000
BBO_IMPROVED_V1,29,3153.13394386243,3153.13394386243,0,3153.13394386243,3153.13394386243,21.2317198,3000
BBO_IMPROVED_V1,30,544397.914126014,544397.914126014,0,544397.914126014,544397.914126014,11.4233349,3000
MGO,1,273592347.180136,273592347.180136,0,273592347.180136,273592347.180136,10.0021413,3000
MGO,2,79030925,79030925,0,79030925,79030925,21.3908578,3000
MGO,3,11935.1017845424,11935.1017845424,0,11935.1017845424,11935.1017845424,21.5115844,3000
MGO,4,437.066594030195,437.066594030195,0,437.066594030195,437.066594030195,10.0075155,3000
MGO,5,534.476039569381,534.476039569381,0,534.476039569381,534.476039569381,16.7710476,3000
MGO,6,609.499053137928,609.499053137928,0,609.499053137928,609.499053137928,12.5341941,3000
MGO,7,778.276568916877,778.276568916877,0,778.276568916877,778.276568916877,12.031192,3000
MGO,8,834.189056088752,834.189056088752,0,834.189056088752,834.189056088752,12.3704242,3000
MGO,9,1099.91977201704,1099.91977201704,0,1099.91977201704,1099.91977201704,12.2203374,3000
MGO,10,2345.09913741675,2345.09913741675,0,2345.09913741675,2345.09913741675,12.7676489,3000
MGO,11,1217.1105763941,1217.1105763941,0,1217.1105763941,1217.1105763941,12.386648,3000
MGO,12,2315804.87406807,2315804.87406807,0,2315804.87406807,2315804.87406807,12.7171156,3000
MGO,13,5258.44601729176,5258.44601729176,0,5258.44601729176,5258.44601729176,12.174581,3000
MGO,14,1493.72790698808,1493.72790698808,0,1493.72790698808,1493.72790698808,12.6386282,3000
MGO,15,2031.96202547474,2031.96202547474,0,2031.96202547474,2031.96202547474,11.9512645,3000
MGO,16,1814.91291935202,1814.91291935202,0,1814.91291935202,1814.91291935202,12.0160818,3000
MGO,17,1758.4407312504,1758.4407312504,0,1758.4407312504,1758.4407312504,11.5633489,3000
MGO,18,23993.3800554331,23993.3800554331,0,23993.3800554331,23993.3800554331,11.9579552,3000
MGO,19,3166.70851164038,3166.70851164038,0,3166.70851164038,3166.70851164038,11.3122458,3000
MGO,20,2092.06719933831,2092.06719933831,0,2092.06719933831,2092.06719933831,12.4375917,3000
MGO,21,2265.18363962154,2265.18363962154,0,2265.18363962154,2265.18363962154,12.3631381,3000
