algorithm_name,function_id,best,mean,std,worst,median,avg_runtime
BBO,1,100.08324684643,1051.38432753156,1044.91309027036,4452.04621864772,579.157933351665,0.804957443333333
BBO,2,200,200,0,200,200,0.846894213333334
BBO,3,300.000000000013,300.000000010723,3.05002335967507e-08,300.000000153949,300.000000000621,0.802553983333333
BBO,4,400.068079268173,400.373715647069,0.0915848291228579,400.515079928417,400.389128842907,0.83808533
BBO,5,503.979836228373,510.115403792965,5.43129315607992,525.868829325576,508.954626476021,0.892545453333333
SBO,1,100,100,1.08900161667876e-13,100.000000000001,100,0.40655968
SBO,2,200,200,0,200,200,0.47918679
SBO,3,300,300,2.36029449791147e-14,300,300,0.4230531
SBO,4,400,400,8.83141334307233e-14,400,400,0.422009126666667
SBO,5,505.96975434256,512.337480546987,4.49233654388569,525.868869901901,511.939498609481,0.525990893333333
