[2026-03-12 21:16:55.254] Start experiment: 20260312_211655
[2026-03-12 21:16:55.263] Suite: cec2017
[2026-03-12 21:16:55.535] Running SBO on F1 ...
[2026-03-12 21:16:59.215] Done BBO F1 run 26/30: best=41352104.2905, t=0.0478s
[2026-03-12 21:16:59.298] Done BBO F1 run 27/30: best=5.12764619884e+15, t=0.0476s
[2026-03-12 21:16:59.369] Done BBO F1 run 28/30: best=515243249395, t=0.0423s
[2026-03-12 21:16:59.445] Done BBO F1 run 29/30: best=2.41379844153e+15, t=0.0423s
[2026-03-12 21:16:59.523] Done BBO F1 run 30/30: best=2.35256572051e+15, t=0.0390s
[2026-03-12 21:16:59.532] Running SBO on F2 ...
[2026-03-12 21:16:59.568] Done SBO F2 run 1/30: best=3602361915, t=0.0044s
[2026-03-12 21:16:59.602] Done SBO F2 run 2/30: best=289894997516, t=0.0016s
[2026-03-12 21:16:59.632] Done SBO F2 run 3/30: best=381036845377, t=0.0012s
[2026-03-12 21:16:59.666] Done SBO F2 run 4/30: best=18725486107, t=0.0014s
[2026-03-12 21:16:59.702] Done SBO F2 run 5/30: best=3714447764, t=0.0015s
[2026-03-12 21:16:59.737] Done SBO F2 run 6/30: best=7756745974, t=0.0014s
[2026-03-12 21:16:59.774] Done SBO F2 run 7/30: best=1.25807765155e+12, t=0.0013s
[2026-03-12 21:16:59.807] Done SBO F2 run 8/30: best=17523479083, t=0.0012s
[2026-03-12 21:16:59.843] Done SBO F2 run 9/30: best=70430198221, t=0.0014s
[2026-03-12 21:16:59.877] Done SBO F2 run 10/30: best=419868396, t=0.0017s
[2026-03-12 21:16:59.906] Done SBO F2 run 11/30: best=1.57400046625e+12, t=0.0014s
[2026-03-12 21:16:59.939] Done SBO F2 run 12/30: best=32322603027, t=0.0012s
[2026-03-12 21:16:59.970] Done SBO F2 run 13/30: best=2118667854, t=0.0013s
[2026-03-12 21:16:59.999] Done SBO F2 run 14/30: best=40031593185, t=0.0012s
[2026-03-12 21:17:00.034] Done SBO F2 run 15/30: best=49168646021, t=0.0011s
[2026-03-12 21:17:00.066] Done SBO F2 run 16/30: best=336829434460, t=0.0012s
[2026-03-12 21:17:00.099] Done SBO F2 run 17/30: best=1344367772, t=0.0012s
[2026-03-12 21:17:00.132] Done SBO F2 run 18/30: best=2000662596, t=0.0012s
[2026-03-12 21:17:00.164] Done SBO F2 run 19/30: best=300230187, t=0.0012s
[2026-03-12 21:17:00.198] Done SBO F2 run 20/30: best=860715468, t=0.0019s
[2026-03-12 21:17:00.229] Done SBO F2 run 21/30: best=18211149409, t=0.0013s
[2026-03-12 21:17:00.262] Done SBO F2 run 22/30: best=1.37516768616e+12, t=0.0012s
[2026-03-12 21:17:00.293] Done SBO F2 run 23/30: best=1882094488, t=0.0014s
[2026-03-12 21:17:00.324] Done SBO F2 run 24/30: best=42533482418, t=0.0015s
[2026-03-12 21:17:00.356] Done SBO F2 run 25/30: best=4248690236, t=0.0018s
[2026-03-12 21:17:00.387] Done SBO F2 run 26/30: best=752295071795, t=0.0011s
[2026-03-12 21:17:00.416] Done SBO F2 run 27/30: best=74774759208, t=0.0012s
[2026-03-12 21:17:00.446] Done SBO F2 run 28/30: best=305768799, t=0.0012s
[2026-03-12 21:17:00.477] Done SBO F2 run 29/30: best=512831254, t=0.0014s
[2026-03-12 21:17:00.507] Done SBO F2 run 30/30: best=686272072365, t=0.0014s
[2026-03-12 21:17:00.515] Running BBO on F2 ...
[2026-03-12 21:17:00.598] Done BBO F2 run 1/30: best=200, t=0.0507s
[2026-03-12 21:17:00.670] Done BBO F2 run 2/30: best=268, t=0.0420s
[2026-03-12 21:17:00.747] Done BBO F2 run 3/30: best=200, t=0.0487s
[2026-03-12 21:17:00.821] Done BBO F2 run 4/30: best=200, t=0.0435s
[2026-03-12 21:17:00.893] Done BBO F2 run 5/30: best=200, t=0.0435s
[2026-03-12 21:17:00.967] Done BBO F2 run 6/30: best=200, t=0.0466s
[2026-03-12 21:17:01.039] Done BBO F2 run 7/30: best=201, t=0.0440s
[2026-03-12 21:17:01.113] Done BBO F2 run 8/30: best=200, t=0.0433s
[2026-03-12 21:17:01.185] Done BBO F2 run 9/30: best=200, t=0.0412s
[2026-03-12 21:17:01.260] Done BBO F2 run 10/30: best=200, t=0.0426s
