[2026-03-13 08:51:04.291] Done BBO F1 run 25/30: best=100.722995796, used_FEs=300000/300000, t=2.1559s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:51:06.781] Done BBO F1 run 26/30: best=632.035393302, used_FEs=300000/300000, t=2.4194s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:51:09.102] Done BBO F1 run 27/30: best=1405.94098538, used_FEs=300000/300000, t=2.2528s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:51:11.431] Done BBO F1 run 28/30: best=237.478677424, used_FEs=300000/300000, t=2.2572s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:51:13.764] Done BBO F1 run 29/30: best=192.549897383, used_FEs=300000/300000, t=2.2559s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:51:16.014] Done BBO F1 run 30/30: best=103.767368454, used_FEs=300000/300000, t=2.1580s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:51:16.289] Running SBO on F1 ...
[2026-03-13 08:51:17.961] Done SBO F1 run 1/30: best=100, used_FEs=300000/300000, t=1.5991s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:19.508] Done SBO F1 run 2/30: best=100, used_FEs=300000/300000, t=1.4643s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:21.144] Done SBO F1 run 3/30: best=100, used_FEs=300000/300000, t=1.5566s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:22.827] Done SBO F1 run 4/30: best=100, used_FEs=300000/300000, t=1.6038s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:24.559] Done SBO F1 run 5/30: best=100, used_FEs=300000/300000, t=1.6702s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:25.733] Done SBO F1 run 6/30: best=100, used_FEs=300000/300000, t=1.0935s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:27.318] Done SBO F1 run 7/30: best=100, used_FEs=300000/300000, t=1.5323s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:29.245] Done SBO F1 run 8/30: best=100, used_FEs=300000/300000, t=1.8515s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:30.946] Done SBO F1 run 9/30: best=100, used_FEs=300000/300000, t=1.6431s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:32.561] Done SBO F1 run 10/30: best=100, used_FEs=300000/300000, t=1.5299s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:34.071] Done SBO F1 run 11/30: best=100, used_FEs=300000/300000, t=1.4345s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:35.714] Done SBO F1 run 12/30: best=100, used_FEs=300000/300000, t=1.5853s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:37.308] Done SBO F1 run 13/30: best=100, used_FEs=300000/300000, t=1.5363s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:38.830] Done SBO F1 run 14/30: best=100, used_FEs=300000/300000, t=1.4646s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:40.510] Done SBO F1 run 15/30: best=100, used_FEs=300000/300000, t=1.5986s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:42.078] Done SBO F1 run 16/30: best=100, used_FEs=300000/300000, t=1.5134s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:43.545] Done SBO F1 run 17/30: best=100, used_FEs=300000/300000, t=1.4105s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:45.078] Done SBO F1 run 18/30: best=100, used_FEs=300000/300000, t=1.4635s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:46.630] Done SBO F1 run 19/30: best=100, used_FEs=300000/300000, t=1.4949s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:48.110] Done SBO F1 run 20/30: best=100, used_FEs=300000/300000, t=1.4247s, mode=exact_fes_parameter, status=completed
